personId,points,contestedShots,contestedShots2pt,contestedShots3pt,deflections,chargesDrawn,screenAssists,screenAssistPoints,looseBallsRecoveredOffensive,looseBallsRecoveredDefensive,looseBallsRecoveredTotal,offensiveBoxOuts,defensiveBoxOuts,boxOutPlayerTeamRebounds,boxOutPlayerRebounds,boxOuts,matchupMinutes,partialPossessions,switchesOn,oppPoints,defensiveRebounds,matchupAssists,matchupTurnovers,steals,matchupFieldGoalsMade,matchupFieldGoalsAttempted,matchupFieldGoalPercentage,matchupThreePointersMade,matchupThreePointersAttempted,matchupThreePointerPercentage,gameId,teamId,teamCity,teamName,teamTricode,teamSlug,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,percentageFieldGoalsAttempted2pt,percentageFieldGoalsAttempted3pt,percentagePoints2pt,percentagePointsMidrange2pt,percentagePoints3pt,percentagePointsFastBreak,percentagePointsFreeThrow,percentagePointsOffTurnovers,percentagePointsPaint,percentageAssisted2pt,percentageUnassisted2pt,percentageAssisted3pt,percentageUnassisted3pt,percentageAssistedFGM,percentageUnassistedFGM,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,pointsOffTurnovers,pointsSecondChance,pointsFastBreak,pointsPaint,oppPointsOffTurnovers,oppPointsSecondChance,oppPointsFastBreak,oppPointsPaint,blocksAgainst,foulsPersonal,foulsDrawn,speed,distance,reboundChancesOffensive,reboundChancesDefensive,reboundChancesTotal,touches,secondaryAssists,freeThrowAssists,passes,assists,contestedFieldGoalsMade,contestedFieldGoalsAttempted,contestedFieldGoalPercentage,uncontestedFieldGoalsMade,uncontestedFieldGoalsAttempted,uncontestedFieldGoalsPercentage,fieldGoalPercentage,defendedAtRimFieldGoalsMade,defendedAtRimFieldGoalsAttempted,defendedAtRimFieldGoalPercentage,percentageFieldGoalsMade,percentageFieldGoalsAttempted,percentageThreePointersMade,percentageThreePointersAttempted,percentageFreeThrowsMade,percentageFreeThrowsAttempted,percentageReboundsOffensive,percentageReboundsDefensive,percentageReboundsTotal,percentageAssists,percentageTurnovers,percentageSteals,percentageBlocks,percentageBlocksAllowed,percentagePersonalFouls,percentagePersonalFoulsDrawn,percentagePoints
1629631,24.0,6.0,3.0,3.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17:07,83.2,0.0,12.0,4.0,5.0,2.0,1.0,5.0,15.0,0.333,1.0,7.0,0.143,0022300246,1610612737,Atlanta,Hawks,ATL,hawks,De'Andre,Hunter,D. Hunter,deandre-hunter,F,,,0.214,0.786,0.167,0.0,0.625,0.125,0.208,0.167,0.167,0.0,1.0,0.6,0.4,0.429,0.571,97.8,97.7,115.0,114.5,-17.2,-16.8,0.095,1.0,10.5,0.0,0.095,0.044,10.5,0.679,0.741,0.179,101.85,102.14,85.12,86.0,0.125,4,0,3,4,22,13,8,38,0,4,5,4.03,2.82,0,7,7,56,0,0,39,2,1,1,1.0,6,13,0.462,0.5,2,3,0.667,0.25,0.194,0.313,0.25,0.417,0.278,0.0,0.133,0.103,0.167,0.133,0.333,0.25,0.0,0.267,0.294,0.286
1630180,7.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,12:08,61.0,0.0,22.0,5.0,2.0,2.0,0.0,9.0,14.0,0.643,3.0,6.0,0.5,0022300246,1610612737,Atlanta,Hawks,ATL,hawks,Saddiq,Bey,S. Bey,saddiq-bey,F,,,0.286,0.714,0.571,0.0,0.429,1.0,0.0,0.571,0.571,1.0,0.0,1.0,0.0,1.0,0.0,98.6,96.8,125.4,124.6,-26.8,-27.8,0.053,0.0,12.5,0.086,0.185,0.129,0.0,0.5,0.5,0.103,100.97,102.26,85.22,62.0,0.07,4,0,7,4,18,11,5,30,0,3,1,4.25,2.18,3,6,9,27,0,0,19,1,0,0,0.0,3,7,0.429,0.428,4,4,1.0,0.136,0.13,0.111,0.156,0.0,0.0,0.429,0.385,0.4,0.1,0.0,0.0,0.0,0.0,0.25,0.077,0.117
203991,4.0,4.0,4.0,0.0,2.0,0.0,4.0,10.0,0.0,0.0,0.0,4.0,0.0,4.0,3.0,4.0,8:26,44.5,0.0,4.0,4.0,3.0,0.0,1.0,2.0,6.0,0.333,0.0,1.0,0.0,0022300246,1610612737,Atlanta,Hawks,ATL,hawks,Clint,Capela,C. Capela,clint-capela,C,,,1.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5,1.0,0.0,0.0,0.0,1.0,0.0,103.6,102.2,120.1,120.0,-16.5,-17.8,0.071,1.0,10.0,0.129,0.19,0.154,10.0,0.2,0.262,0.169,102.21,102.94,85.78,45.0,0.044,0,0,0,2,7,4,5,20,1,0,4,4.24,1.56,5,6,11,31,1,0,21,1,0,4,0.0,1,1,1.0,0.2,2,4,0.5,0.067,0.114,0.0,0.0,0.4,0.6,0.444,0.235,0.308,0.1,0.2,0.5,0.667,0.5,0.0,0.444,0.087
1627749,6.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,1.0,14:28,71.0,0.0,10.0,2.0,5.0,1.0,0.0,4.0,13.0,0.308,2.0,6.0,0.333,0022300246,1610612737,Atlanta,Hawks,ATL,hawks,Dejounte,Murray,D. Murray,dejounte-murray,G,,,0.538,0.462,0.667,0.0,0.0,0.333,0.333,0.0,0.667,0.0,1.0,0.0,0.0,0.0,1.0,95.1,95.9,108.9,108.5,-13.8,-12.6,0.143,1.0,15.0,0.045,0.054,0.049,15.0,0.154,0.216,0.206,101.28,101.05,84.21,73.0,-0.024,0,0,2,4,15,10,6,32,1,1,1,4.29,2.6,4,5,9,52,0,0,35,3,1,6,0.167,1,7,0.143,0.153,1,1,1.0,0.087,0.2,0.0,0.146,0.2,0.133,0.222,0.071,0.108,0.273,0.273,0.0,0.0,0.333,0.091,0.071,0.086
1629027,33.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15:59,79.4,0.0,22.0,4.0,0.0,2.0,0.0,8.0,18.0,0.444,1.0,7.0,0.143,0022300246,1610612737,Atlanta,Hawks,ATL,hawks,Trae,Young,T. Young,trae-young,G,,,0.407,0.593,0.364,0.0,0.545,0.0,0.091,0.091,0.364,0.0,1.0,0.333,0.667,0.167,0.833,93.1,95.0,110.2,108.8,-17.1,-13.8,0.467,1.4,17.1,0.022,0.095,0.057,12.2,0.556,0.557,0.384,103.38,103.04,85.87,80.0,0.145,3,2,0,12,19,11,8,34,1,3,6,4.02,2.68,2,7,9,89,2,1,48,7,3,5,0.6,9,22,0.409,0.444,4,4,1.0,0.444,0.391,0.5,0.39,0.3,0.4,0.143,0.16,0.156,0.583,0.385,0.0,0.0,0.5,0.231,0.375,0.434
1631100,0.0,4.0,2.0,2.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5:27,22.9,0.0,4.0,4.0,1.0,0.0,0.0,2.0,6.0,0.333,0.0,2.0,0.0,0022300246,1610612737,Atlanta,Hawks,ATL,hawks,AJ,Griffin,A. Griffin,aj-griffin,,,,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.6,134.6,110.6,112.0,29.0,22.6,0.091,0.0,16.7,0.0,0.267,0.143,0.0,0.0,0.0,0.172,97.35,98.51,82.09,26.0,0.0,0,0,0,0,5,6,0,10,0,0,0,4.58,1.0,2,5,7,14,0,0,8,1,0,3,0.0,0,2,0.0,0.0,2,3,0.667,0.0,0.217,0.0,0.2,0.0,0.0,0.0,0.4,0.286,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203992,23.0,5.0,0.0,5.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14:35,63.5,0.0,14.0,6.0,4.0,3.0,1.0,5.0,16.0,0.313,3.0,12.0,0.25,0022300246,1610612737,Atlanta,Hawks,ATL,hawks,Bogdan,Bogdanovic,B. Bogdanovic,bogdan-bogdanovic,,,,0.167,0.833,0.087,0.0,0.913,0.261,0.0,0.0,0.087,0.0,1.0,0.429,0.571,0.375,0.625,108.7,111.1,113.0,110.9,-4.3,0.2,0.0,0.0,0.0,0.032,0.158,0.101,25.0,0.958,0.958,0.227,96.18,96.0,80.0,63.0,0.168,0,6,6,2,21,13,5,32,0,3,2,4.19,2.37,3,10,13,40,1,2,24,0,3,4,0.75,5,8,0.625,0.667,0,0,0.0,0.308,0.222,0.538,0.333,0.0,0.0,0.167,0.3,0.269,0.0,0.333,0.333,0.0,0.0,0.273,0.2,0.329
1630168,4.0,3.0,2.0,1.0,2.0,0.0,6.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,12:24,54.5,0.0,15.0,3.0,3.0,1.0,2.0,6.0,10.0,0.6,1.0,1.0,1.0,0022300246,1610612737,Atlanta,Hawks,ATL,hawks,Onyeka,Okongwu,O. Okongwu,onyeka-okongwu,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,100.1,103.6,109.6,107.3,-9.5,-3.6,0.0,0.0,0.0,0.0,0.094,0.053,0.0,1.0,1.0,0.034,98.43,97.72,81.43,55.0,0.086,0,0,0,4,19,13,3,26,0,2,0,3.73,1.81,1,6,7,17,1,1,15,0,2,2,1.0,0,0,0.0,1.0,3,6,0.5,0.095,0.045,0.0,0.0,0.0,0.0,0.0,0.2,0.176,0.0,0.0,0.667,1.0,0.0,0.182,0.0,0.07
202083,2.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3:34,15.0,0.0,7.0,0.0,3.0,2.0,0.0,2.0,4.0,0.5,1.0,2.0,0.5,0022300246,1610612737,Atlanta,Hawks,ATL,hawks,Wesley,Matthews,W. Matthews,wesley-matthews,,,,0.333,0.667,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,121.4,113.3,126.8,120.0,-5.3,-6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.333,0.188,86.97,92.53,77.1,15.0,-0.032,0,0,0,2,4,4,0,8,0,1,0,4.17,0.58,0,3,3,7,0,0,4,0,1,1,1.0,0,2,0.0,0.333,0,1,0.0,0.143,0.2,0.0,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.118
1627759,21.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13:53,75.9,0.0,13.0,6.0,3.0,1.0,1.0,4.0,14.0,0.286,2.0,9.0,0.222,0022300246,1610612738,Boston,Celtics,BOS,celtics,Jaylen,Brown,J. Brown,jaylen-brown,F,,,0.632,0.368,0.667,0.286,0.286,0.143,0.048,0.19,0.381,0.429,0.571,1.0,0.0,0.556,0.444,107.3,106.6,96.2,98.7,11.2,7.9,0.15,1.5,12.0,0.025,0.125,0.08,8.0,0.526,0.528,0.257,101.7,100.69,83.91,76.0,0.112,4,2,3,8,9,3,16,24,0,4,4,3.95,2.56,4,10,13,66,2,2,42,3,5,11,0.455,4,8,0.5,0.473,1,3,0.333,0.31,0.275,0.222,0.206,0.071,0.118,0.1,0.176,0.159,0.176,0.222,0.2,0.0,0.0,0.267,0.333,0.259
