personId,points,contestedShots,contestedShots2pt,contestedShots3pt,deflections,chargesDrawn,screenAssists,screenAssistPoints,looseBallsRecoveredOffensive,looseBallsRecoveredDefensive,looseBallsRecoveredTotal,offensiveBoxOuts,defensiveBoxOuts,boxOutPlayerTeamRebounds,boxOutPlayerRebounds,boxOuts,matchupMinutes,partialPossessions,switchesOn,oppPoints,defensiveRebounds,matchupAssists,matchupTurnovers,steals,matchupFieldGoalsMade,matchupFieldGoalsAttempted,matchupFieldGoalPercentage,matchupThreePointersMade,matchupThreePointersAttempted,matchupThreePointerPercentage,gameId,teamId,teamCity,teamName,teamTricode,teamSlug,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,percentageFieldGoalsAttempted2pt,percentageFieldGoalsAttempted3pt,percentagePoints2pt,percentagePointsMidrange2pt,percentagePoints3pt,percentagePointsFastBreak,percentagePointsFreeThrow,percentagePointsOffTurnovers,percentagePointsPaint,percentageAssisted2pt,percentageUnassisted2pt,percentageAssisted3pt,percentageUnassisted3pt,percentageAssistedFGM,percentageUnassistedFGM,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,pointsOffTurnovers,pointsSecondChance,pointsFastBreak,pointsPaint,oppPointsOffTurnovers,oppPointsSecondChance,oppPointsFastBreak,oppPointsPaint,blocksAgainst,foulsPersonal,foulsDrawn,speed,distance,reboundChancesOffensive,reboundChancesDefensive,reboundChancesTotal,touches,secondaryAssists,freeThrowAssists,passes,assists,contestedFieldGoalsMade,contestedFieldGoalsAttempted,contestedFieldGoalPercentage,uncontestedFieldGoalsMade,uncontestedFieldGoalsAttempted,uncontestedFieldGoalsPercentage,fieldGoalPercentage,defendedAtRimFieldGoalsMade,defendedAtRimFieldGoalsAttempted,defendedAtRimFieldGoalPercentage,percentageFieldGoalsMade,percentageFieldGoalsAttempted,percentageThreePointersMade,percentageThreePointersAttempted,percentageFreeThrowsMade,percentageFreeThrowsAttempted,percentageReboundsOffensive,percentageReboundsDefensive,percentageReboundsTotal,percentageAssists,percentageTurnovers,percentageSteals,percentageBlocks,percentageBlocksAllowed,percentagePersonalFouls,percentagePersonalFoulsDrawn,percentagePoints
1630183,10.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,9:53,55.3,0.0,11.0,3.0,3.0,2.0,2.0,2.0,4.0,0.5,1.0,1.0,1.0,0022300013,1610612750,Minnesota,Timberwolves,MIN,timberwolves,Jaden,McDaniels,J. McDaniels,jaden-mcdaniels,F,,,0.818,0.182,1.0,0.2,0.0,0.2,0.0,0.2,0.8,0.4,0.6,0.0,0.0,0.4,0.6,109.1,110.5,107.2,112.3,2.0,-1.8,0.0,0.0,0.0,0.074,0.115,0.094,0.0,0.455,0.455,0.167,107.85,104.69,87.24,57.0,0.038,2,2,2,8,15,7,11,22,1,6,1,4.75,2.22,2,5,7,43,1,0,31,0,3,5,0.6,2,6,0.333,0.455,2,2,1.0,0.2,0.216,0.0,0.154,0.0,0.0,0.25,0.176,0.2,0.0,0.0,0.5,0.0,0.167,0.5,0.091,0.159
1626157,29.0,10.0,6.0,4.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,13:14,72.0,0.0,11.0,11.0,4.0,1.0,0.0,5.0,13.0,0.385,1.0,6.0,0.167,0022300013,1610612750,Minnesota,Timberwolves,MIN,timberwolves,Karl-Anthony,Towns,K. Towns,karl-anthony-towns,F,,,0.667,0.333,0.552,0.069,0.31,0.0,0.138,0.207,0.483,0.375,0.625,1.0,0.0,0.545,0.455,115.6,112.0,108.2,112.2,7.4,-0.2,0.1,0.67,7.4,0.03,0.289,0.169,11.1,0.595,0.637,0.302,104.59,104.31,86.92,75.0,0.204,6,4,0,14,13,11,11,30,1,1,5,3.86,2.43,4,11,15,62,1,0,35,2,7,10,0.7,4,10,0.4,0.524,2,3,0.667,0.355,0.339,0.6,0.368,0.235,0.182,0.1,0.44,0.343,0.118,0.273,0.0,0.0,0.25,0.067,0.294,0.345
203497,11.0,12.0,10.0,2.0,1.0,0.0,5.0,11.0,1.0,0.0,1.0,2.0,3.0,3.0,1.0,5.0,12:40,71.9,0.0,19.0,6.0,7.0,3.0,1.0,8.0,17.0,0.471,3.0,5.0,0.6,0022300013,1610612750,Minnesota,Timberwolves,MIN,timberwolves,Rudy,Gobert,R. Gobert,rudy-gobert,C,,,1.0,0.0,0.909,0.0,0.0,0.0,0.091,0.0,0.909,0.8,0.2,0.0,0.0,0.8,0.2,115.6,110.5,109.8,113.7,5.8,-3.2,0.042,1.0,8.3,0.125,0.2,0.161,8.3,0.5,0.527,0.131,105.5,106.01,88.34,76.0,0.083,0,4,0,10,17,11,16,34,3,3,2,4.2,2.6,8,11,18,33,0,0,23,1,3,6,0.5,2,4,0.5,0.5,1,1,1.0,0.172,0.167,0.0,0.0,0.053,0.045,0.364,0.3,0.323,0.067,0.071,0.167,0.0,0.5,0.231,0.133,0.131
1630162,28.0,5.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,14:45,82.4,0.0,10.0,5.0,5.0,2.0,2.0,4.0,10.0,0.4,1.0,4.0,0.25,0022300013,1610612750,Minnesota,Timberwolves,MIN,timberwolves,Anthony,Edwards,A. Edwards,anthony-edwards,G,,,0.619,0.381,0.5,0.286,0.214,0.0,0.286,0.143,0.214,0.286,0.714,0.0,1.0,0.222,0.778,112.2,109.6,104.0,106.0,8.2,3.6,0.2,1.25,14.3,0.053,0.128,0.091,11.4,0.476,0.542,0.326,107.14,107.32,89.44,83.0,0.133,4,3,0,6,19,10,13,36,1,1,7,4.12,2.83,3,7,10,80,0,0,47,5,1,3,0.333,8,18,0.444,0.428,3,4,0.75,0.265,0.309,0.333,0.381,0.471,0.478,0.182,0.172,0.175,0.313,0.286,0.333,0.25,0.143,0.083,0.438,0.308
201144,11.0,7.0,3.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,11:34,65.0,0.0,23.0,1.0,7.0,4.0,0.0,9.0,15.0,0.6,2.0,3.0,0.667,0022300013,1610612750,Minnesota,Timberwolves,MIN,timberwolves,Mike,Conley,M. Conley,mike-conley,G,,,0.571,0.429,0.364,0.0,0.273,0.182,0.364,0.0,0.364,0.0,1.0,1.0,0.0,0.333,0.667,122.9,119.1,112.2,114.9,10.6,4.2,0.231,1.5,31.6,0.071,0.037,0.055,21.1,0.5,0.628,0.171,103.87,104.24,86.86,68.0,0.059,0,0,2,4,15,9,14,30,1,3,2,4.29,2.46,4,4,8,70,0,0,57,6,1,3,0.333,2,4,0.5,0.428,2,3,0.667,0.103,0.123,0.143,0.158,0.25,0.222,0.2,0.056,0.107,0.4,0.364,0.0,0.0,0.2,0.231,0.143,0.136
1629675,7.0,8.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,7:37,39.9,0.0,10.0,2.0,2.0,0.0,0.0,4.0,10.0,0.4,2.0,3.0,0.667,0022300013,1610612750,Minnesota,Timberwolves,MIN,timberwolves,Naz,Reid,N. Reid,naz-reid,,,,0.571,0.429,0.571,0.0,0.429,0.0,0.0,0.0,0.571,0.5,0.5,1.0,0.0,0.667,0.333,97.7,97.6,81.0,80.5,16.7,17.1,0.0,0.0,0.0,0.048,0.071,0.061,0.0,0.5,0.5,0.159,107.57,107.93,89.95,41.0,0.08,0,2,0,4,6,4,4,12,1,1,0,4.53,1.46,2,4,6,22,0,0,15,0,2,4,0.5,1,3,0.333,0.428,0,2,0.0,0.188,0.212,0.333,0.375,0.0,0.0,0.333,0.095,0.125,0.0,0.0,0.0,0.5,0.333,0.167,0.0,0.175
1629638,9.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,7:38,39.9,0.0,4.0,3.0,2.0,0.0,0.0,2.0,11.0,0.182,0.0,4.0,0.0,0022300013,1610612750,Minnesota,Timberwolves,MIN,timberwolves,Nickeil,Alexander-Walker,N. Alexander-Walker,nickeil-alexander-walker,,,,0.75,0.25,0.444,0.444,0.333,0.0,0.222,0.0,0.0,0.5,0.5,1.0,0.0,0.667,0.333,119.2,114.3,90.8,88.1,28.4,26.2,0.308,0.0,44.4,0.0,0.12,0.071,0.0,0.875,0.922,0.116,103.82,107.62,89.68,42.0,0.193,0,0,0,0,6,4,4,16,0,0,1,4.94,1.66,0,4,4,33,0,0,27,4,1,2,0.5,2,2,1.0,0.75,1,1,1.0,0.188,0.133,0.143,0.083,0.222,0.167,0.0,0.158,0.136,0.444,0.0,0.0,0.333,0.0,0.0,0.125,0.188
203937,6.0,5.0,3.0,2.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,10:53,57.8,0.0,16.0,5.0,3.0,1.0,1.0,7.0,11.0,0.636,1.0,5.0,0.2,0022300013,1610612750,Minnesota,Timberwolves,MIN,timberwolves,Kyle,Anderson,K. Anderson,kyle-anderson,,,,1.0,0.0,0.667,0.0,0.0,0.333,0.333,0.667,0.667,1.0,0.0,0.0,0.0,1.0,0.0,110.0,108.6,90.9,88.5,19.1,20.1,0.19,1.0,33.3,0.0,0.161,0.085,33.3,1.0,0.798,0.126,106.48,108.59,90.49,58.0,0.082,4,0,2,4,10,6,12,22,0,1,2,4.1,1.92,2,6,7,44,0,0,35,4,0,0,0.0,2,2,1.0,1.0,3,3,1.0,0.087,0.043,0.0,0.0,0.222,0.333,0.0,0.2,0.161,0.267,0.364,0.333,0.0,0.0,0.1,0.182,0.095
1629003,6.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5:40,30.8,0.0,8.0,2.0,0.0,0.0,0.0,3.0,6.0,0.5,1.0,2.0,0.5,0022300013,1610612750,Minnesota,Timberwolves,MIN,timberwolves,Shake,Milton,S. Milton,shake-milton,,,,0.25,0.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,100.8,100.0,101.2,100.0,-0.4,0.0,0.1,0.5,14.3,0.063,0.095,0.081,28.6,0.75,0.676,0.178,102.49,103.49,86.24,31.0,0.025,0,0,0,0,4,3,5,8,0,3,1,4.48,1.13,1,2,3,22,0,0,16,1,0,1,0.0,2,3,0.667,0.5,0,0,0.0,0.167,0.148,0.5,0.429,0.0,0.25,0.333,0.125,0.158,0.125,0.4,0.0,0.0,0.0,0.375,0.2,0.194
1629640,6.0,7.0,6.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,4.0,13:01,72.0,0.0,22.0,5.0,3.0,0.0,0.0,10.0,15.0,0.667,1.0,2.0,0.5,0022300013,1610612759,San Antonio,Spurs,SAS,spurs,Keldon,Johnson,K. Johnson,keldon-johnson,F,,,0.7,0.3,0.667,0.0,0.0,0.0,0.333,0.0,0.667,1.0,0.0,0.0,0.0,1.0,0.0,105.8,109.6,122.5,120.3,-16.6,-10.7,0.036,1.0,7.1,0.0,0.156,0.076,7.1,0.2,0.255,0.163,107.03,106.11,88.42,73.0,-0.007,0,0,0,4,14,11,4,38,0,2,2,4.29,2.61,1,7,8,37,1,0,21,1,1,4,0.25,1,6,0.167,0.2,3,4,0.75,0.067,0.161,0.0,0.125,0.182,0.267,0.0,0.278,0.227,0.05,0.091,0.0,0.0,0.0,0.118,0.182,0.075
