personId,points,contestedShots,contestedShots2pt,contestedShots3pt,deflections,chargesDrawn,screenAssists,screenAssistPoints,looseBallsRecoveredOffensive,looseBallsRecoveredDefensive,looseBallsRecoveredTotal,offensiveBoxOuts,defensiveBoxOuts,boxOutPlayerTeamRebounds,boxOutPlayerRebounds,boxOuts,matchupMinutes,partialPossessions,switchesOn,oppPoints,defensiveRebounds,matchupAssists,matchupTurnovers,steals,matchupFieldGoalsMade,matchupFieldGoalsAttempted,matchupFieldGoalPercentage,matchupThreePointersMade,matchupThreePointersAttempted,matchupThreePointerPercentage,gameId,teamId,teamCity,teamName,teamTricode,teamSlug,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,percentageFieldGoalsAttempted2pt,percentageFieldGoalsAttempted3pt,percentagePoints2pt,percentagePointsMidrange2pt,percentagePoints3pt,percentagePointsFastBreak,percentagePointsFreeThrow,percentagePointsOffTurnovers,percentagePointsPaint,percentageAssisted2pt,percentageUnassisted2pt,percentageAssisted3pt,percentageUnassisted3pt,percentageAssistedFGM,percentageUnassistedFGM,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,pointsOffTurnovers,pointsSecondChance,pointsFastBreak,pointsPaint,oppPointsOffTurnovers,oppPointsSecondChance,oppPointsFastBreak,oppPointsPaint,blocksAgainst,foulsPersonal,foulsDrawn,speed,distance,reboundChancesOffensive,reboundChancesDefensive,reboundChancesTotal,touches,secondaryAssists,freeThrowAssists,passes,assists,contestedFieldGoalsMade,contestedFieldGoalsAttempted,contestedFieldGoalPercentage,uncontestedFieldGoalsMade,uncontestedFieldGoalsAttempted,uncontestedFieldGoalsPercentage,fieldGoalPercentage,defendedAtRimFieldGoalsMade,defendedAtRimFieldGoalsAttempted,defendedAtRimFieldGoalPercentage,percentageFieldGoalsMade,percentageFieldGoalsAttempted,percentageThreePointersMade,percentageThreePointersAttempted,percentageFreeThrowsMade,percentageFreeThrowsAttempted,percentageReboundsOffensive,percentageReboundsDefensive,percentageReboundsTotal,percentageAssists,percentageTurnovers,percentageSteals,percentageBlocks,percentageBlocksAllowed,percentagePersonalFouls,percentagePersonalFoulsDrawn,percentagePoints
202331,22.0,9.0,5.0,4.0,2.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10:28,61.0,0.0,20.0,4.0,9.0,3.0,1.0,8.0,14.0,0.571,2.0,6.0,0.333,0022300379,1610612746,LA,Clippers,LAC,clippers,Paul,George,P. George,paul-george,F,,,0.429,0.571,0.182,0.091,0.682,0.091,0.136,0.0,0.091,0.0,1.0,0.8,0.2,0.571,0.429,118.1,119.4,138.9,140.3,-20.8,-21.0,0.19,4.0,20.0,0.0,0.143,0.073,5.0,0.679,0.718,0.237,104.34,103.27,86.06,62.0,0.111,0,5,2,2,12,11,13,36,0,4,1,4.06,2.07,0,9,9,52,1,0,34,4,1,6,0.167,6,8,0.75,0.5,5,6,0.833,0.25,0.255,0.417,0.286,0.5,0.5,0.0,0.2,0.16,0.235,0.1,0.25,0.2,0.0,0.4,0.167,0.297
1629599,9.0,4.0,3.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,12:55,69.6,0.0,22.0,2.0,4.0,0.0,0.0,9.0,13.0,0.692,1.0,2.0,0.5,0022300379,1610612746,LA,Clippers,LAC,clippers,Amir,Coffey,A. Coffey,amir-coffey,F,,,0.429,0.571,0.667,0.222,0.333,0.222,0.0,0.222,0.444,0.667,0.333,1.0,0.0,0.75,0.25,124.2,120.5,133.0,135.2,-8.8,-14.7,0.034,1.0,11.1,0.069,0.074,0.071,11.1,0.643,0.643,0.1,104.32,105.05,87.54,73.0,0.037,2,2,2,4,15,9,9,42,0,2,2,4.06,2.41,2,3,5,39,0,0,30,1,2,2,1.0,2,5,0.4,0.57,2,2,1.0,0.121,0.113,0.083,0.154,0.0,0.0,0.222,0.105,0.143,0.053,0.077,0.0,0.0,0.0,0.154,0.222,0.102
1627826,6.0,4.0,2.0,2.0,0.0,0.0,4.0,11.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,5:34,32.8,0.0,22.0,1.0,3.0,0.0,0.0,9.0,10.0,0.9,2.0,3.0,0.667,0022300379,1610612746,LA,Clippers,LAC,clippers,Ivica,Zubac,I. Zubac,ivica-zubac,C,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,127.4,132.4,139.9,137.1,-12.5,-4.8,0.214,0.0,42.9,0.1,0.083,0.094,0.0,0.75,0.75,0.099,98.7,97.8,81.5,34.0,0.077,0,0,0,6,2,5,6,16,1,2,0,4.32,1.28,4,3,7,32,0,0,27,3,2,3,0.667,1,1,1.0,0.75,2,2,1.0,0.176,0.108,0.0,0.0,0.0,0.0,0.4,0.111,0.214,0.25,0.0,0.0,0.0,1.0,0.4,0.0,0.133
1629611,5.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,8:41,48.5,0.0,12.0,1.0,2.0,0.0,3.0,4.0,9.0,0.444,2.0,3.0,0.667,0022300379,1610612746,LA,Clippers,LAC,clippers,Terance,Mann,T. Mann,terance-mann,G,,,0.5,0.5,0.4,0.0,0.6,0.4,0.0,0.4,0.4,0.0,1.0,1.0,0.0,0.5,0.5,97.3,100.0,157.9,159.2,-60.6,-59.2,0.067,1.0,10.0,0.0,0.083,0.026,10.0,0.313,0.313,0.172,99.71,97.95,81.63,47.0,0.004,2,0,2,2,15,7,9,34,1,3,0,4.28,1.78,2,2,4,29,0,0,21,1,1,3,0.333,1,5,0.2,0.25,1,1,1.0,0.118,0.186,0.091,0.154,0.0,0.0,0.0,0.125,0.083,0.083,0.125,0.75,0.5,0.5,0.25,0.0,0.106
201935,23.0,4.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,12:12,72.1,0.0,14.0,7.0,4.0,2.0,3.0,6.0,12.0,0.5,1.0,4.0,0.25,0022300379,1610612746,LA,Clippers,LAC,clippers,James,Harden,J. Harden,james-harden,G,,,0.5,0.5,0.261,0.0,0.522,0.13,0.217,0.13,0.261,0.333,0.667,0.5,0.5,0.429,0.571,111.6,110.7,134.6,137.0,-23.1,-26.3,0.25,2.0,20.7,0.053,0.241,0.134,10.3,0.5,0.557,0.273,105.42,104.93,87.44,75.0,0.125,3,0,3,6,18,7,9,36,2,1,4,3.61,2.18,3,8,10,85,0,0,57,6,2,7,0.286,5,11,0.455,0.389,3,4,0.75,0.226,0.261,0.333,0.3,0.556,0.6,0.2,0.292,0.265,0.375,0.273,0.5,0.2,0.4,0.077,0.571,0.277
201566,15.0,2.0,2.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,10:38,63.2,0.0,19.0,9.0,6.0,0.0,0.0,6.0,11.0,0.545,3.0,6.0,0.5,0022300379,1610612746,LA,Clippers,LAC,clippers,Russell,Westbrook,R. Westbrook,russell-westbrook,,,,0.833,0.167,0.933,0.0,0.0,0.267,0.067,0.0,0.933,0.0,1.0,0.0,0.0,0.0,1.0,110.8,107.6,120.3,118.8,-9.5,-11.2,0.19,0.8,19.0,0.129,0.281,0.206,23.8,0.583,0.603,0.233,102.82,105.05,87.54,66.0,0.118,0,4,4,14,11,8,10,36,0,3,1,3.95,2.09,7,11,17,59,1,0,40,4,5,8,0.625,2,4,0.5,0.582,2,2,1.0,0.25,0.203,0.0,0.08,0.167,0.143,0.444,0.375,0.394,0.364,0.455,0.0,0.0,0.0,0.273,0.125,0.211
1626181,16.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,1.0,2.0,8:31,51.0,0.0,9.0,3.0,1.0,0.0,0.0,4.0,8.0,0.5,1.0,2.0,0.5,0022300379,1610612746,LA,Clippers,LAC,clippers,Norman,Powell,N. Powell,norman-powell,,,,0.273,0.727,0.25,0.0,0.75,0.125,0.0,0.125,0.25,0.0,1.0,1.0,0.0,0.667,0.333,115.8,114.8,124.5,120.8,-8.7,-5.9,0.056,1.0,7.7,0.042,0.13,0.085,7.7,0.727,0.727,0.202,108.62,110.77,92.31,54.0,0.116,2,2,2,4,9,4,6,26,0,0,1,4.14,1.74,1,4,5,29,0,0,16,1,0,2,0.0,6,9,0.667,0.545,1,2,0.5,0.25,0.229,0.571,0.444,0.0,0.0,0.167,0.158,0.16,0.1,0.125,0.0,0.333,0.0,0.0,0.167,0.258
1630527,7.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6:05,32.0,0.0,4.0,0.0,2.0,3.0,1.0,2.0,4.0,0.5,0.0,1.0,0.0,0022300379,1610612746,LA,Clippers,LAC,clippers,Brandon,Boston Jr.,B. Boston Jr.,brandon-boston-jr,,,,0.5,0.5,0.571,0.0,0.429,0.0,0.0,0.714,0.571,0.5,0.5,1.0,0.0,0.667,0.333,99.0,97.1,113.8,112.1,-14.7,-15.1,0.091,0.0,9.1,0.05,0.0,0.034,0.0,0.35,0.35,0.248,96.16,97.85,81.54,34.0,0.024,5,5,0,4,2,0,8,18,1,1,0,4.05,1.18,1,2,3,25,0,0,15,1,1,3,0.333,2,7,0.286,0.299,1,1,1.0,0.214,0.294,0.25,0.357,0.0,0.0,0.143,0.0,0.077,0.2,0.0,0.2,0.0,0.333,0.2,0.0,0.212
1628464,4.0,5.0,5.0,0.0,1.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5:58,29.0,0.0,10.0,1.0,2.0,1.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,0022300379,1610612746,LA,Clippers,LAC,clippers,Daniel,Theis,D. Theis,daniel-theis,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,102.6,103.2,157.5,158.6,-55.0,-55.4,0.0,0.0,0.0,0.0,0.125,0.05,50.0,1.0,1.0,0.124,96.89,96.25,80.2,31.0,0.034,0,0,0,4,12,4,7,22,0,1,1,4.13,1.1,1,5,6,19,0,0,14,0,1,1,1.0,1,1,1.0,1.0,2,4,0.5,0.167,0.083,0.0,0.0,0.0,0.0,0.0,0.2,0.167,0.0,0.333,0.0,1.0,0.0,0.143,0.25,0.125
1630538,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3:49,18.1,0.0,5.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0022300379,1610612746,LA,Clippers,LAC,clippers,Bones,Hyland,B. Hyland,bones-hyland,,,,0.75,0.25,0.333,0.0,0.5,0.0,0.167,0.0,0.333,0.0,1.0,0.0,1.0,0.0,1.0,105.9,105.3,107.0,105.6,-1.0,-0.3,0.333,2.0,25.0,0.0,0.0,0.0,12.5,0.625,0.615,0.287,89.28,90.15,75.13,19.0,0.154,0,0,0,2,2,0,4,12,0,0,1,4.1,0.71,0,0,0,20,0,0,13,2,0,1,0.0,2,3,0.667,0.5,1,1,1.0,0.25,0.235,0.333,0.111,1.0,1.0,0.0,0.0,0.0,0.5,0.333,0.333,0.0,0.0,0.0,0.333,0.3
