Player,Team,Pos,Injury,Status,Est. Return
Steven Adams,MEM,C,Knee,Out For Season,Subscribers Only
Grayson Allen,PHX,G,Ankle,Game Time Decision,Subscribers Only
OG Anunoby,NYK,F,Elbow,Game Time Decision,Subscribers Only
Lonzo Ball,CHI,G,Knee,Out For Season,Subscribers Only
LaMelo Ball,CHA,G,Ankle,Game Time Decision,Subscribers Only
Desmond Bane,MEM,G,Ankle,Out,Subscribers Only
RJ Barrett,TOR,F,Knee,Out,Subscribers Only
Charles Bassey,SAS,C,Knee,Out For Season,Subscribers Only
Bol Bol,PHX,F,Foot,Game Time Decision,Subscribers Only
Moses Brown,POR,C,Wrist,Out,Subscribers Only
Vlatko Cancar,DEN,F,Knee,Out,Subscribers Only
Malcolm Cazalon,DET,G,Ankle,Game Time Decision,Subscribers Only
Sidy Cissoko,SAS,G,Ankle,Game Time Decision,Subscribers Only
Jaylen Clark,MIN,G,Achilles,Game Time Decision,Subscribers Only
Brandon Clarke,MEM,F,Achilles,Out,Subscribers Only
Zach Collins,SAS,C,Ankle,Game Time Decision,Subscribers Only
Mike Conley,MIN,G,Hamstring,Game Time Decision,Subscribers Only
Robert Covington,PHI,F,Knee,Out,Subscribers Only
Torrey Craig,CHI,F,Heel,Out,Subscribers Only
Cade Cunningham,DET,G,Knee,Game Time Decision,Subscribers Only
Anthony Davis,LAL,C,Achilles,Out,Subscribers Only
Moussa Diabate,LAC,F,Hand,Out,Subscribers Only
Tari Eason,HOU,F,Lower Leg,Game Time Decision,Subscribers Only
Joel Embiid,PHI,C,Knee,Game Time Decision,Subscribers Only
Dante Exum,DAL,G,Knee,Game Time Decision,Subscribers Only
Bruno Fernando,ATL,C,Back,Out,Subscribers Only
Dorian Finney-Smith,BKN,F,Ankle,Game Time Decision,Subscribers Only
Evan Fournier,NYK,G,Personal,Out,Subscribers Only
Darius Garland,CLE,G,Jaw,Game Time Decision,Subscribers Only
Mouhamed Gueye,ATL,C,Back,Out,Subscribers Only
Tyrese Haliburton,IND,G,Hamstring,Game Time Decision,Subscribers Only
Gary Harris,ORL,G,Calf,Out,Subscribers Only
Gordon Hayward,CHA,F,Calf,Game Time Decision,Subscribers Only
Malcolm Hill,NOP,F,Undisclosed,Game Time Decision,Subscribers Only
Al Horford,BOS,C,Neck,Out,Subscribers Only
De'Andre Hunter,ATL,F,Knee,Game Time Decision,Subscribers Only
Kyrie Irving,DAL,G,Thumb,Game Time Decision,Subscribers Only
LeBron James,LAL,F,Ankle,Game Time Decision,Subscribers Only
