Player Name,Player ID,Player Team,Position,Avg Min,Offensive Rating,Defensive Rating,Player Height,Player Weight,Height Guarded,Weight Guarded,GuardedHeightDifference,GuardedWeightDifference
RJ Barrett,1629628,TOR,Forward-Guard,30.85,0.32,0.24,198.12,214.0,199.65,216.69,-1.53,-2.69
Julius Randle,203944,NYK,Forward-Center,35.39,0.37,0.24,203.2,250.0,202.27,225.52,0.93,24.48
Mitchell Robinson,1629011,NYK,Center-Forward,29.14,0.12,0.27,213.36,240.0,208.33,239.17,5.03,0.83
Quentin Grimes,1629656,NYK,Guard,20.24,0.19,0.21,195.58,210.0,196.68,209.95,-1.1,0.05
Jalen Brunson,1628973,NYK,Guard,35.74,0.39,0.22,187.96,190.0,196.18,206.69,-8.22,-16.69
Josh Hart,1628404,NYK,Guard,28.72,0.13,0.24,193.04,215.0,199.93,216.69,-6.89,-1.69
Immanuel Quickley,1630193,TOR,Guard,26.24,0.3,0.24,187.96,190.0,195.74,205.78,-7.78,-15.78
Isaiah Hartenstein,1628392,NYK,Center-Forward,25.26,0.13,0.29,213.36,250.0,205.83,235.75,7.53,14.25
Donte DiVincenzo,1628978,NYK,Guard,23.06,0.26,0.25,193.04,203.0,197.48,209.05,-4.44,-6.05
Jericho Sims,1630579,NYK,Center,8.96,0.09,0.29,208.28,250.0,207.18,238.33,1.1,11.67
Miles McBride,1630540,NYK,Guard,9.97,0.26,0.28,185.42,195.0,194.14,202.33,-8.72,-7.33
Charlie Brown Jr,1629718,NYK,Guard,1.5,0.25,0.07,198.12,199.0,200.32,210.93,-2.2,-11.93
Khris Middleton,203114,MIL,Forward,26.41,0.29,0.21,200.66,222.0,,,,
Giannis Antetokounmpo,203507,MIL,Forward,35.26,0.45,0.2,210.82,243.0,202.16,226.56,8.66,16.44
Brook Lopez,201572,MIL,Center,31.9,0.2,0.4,215.9,282.0,,,,
Malik Beasley,1627736,MIL,Guard,29.41,0.19,0.21,193.04,187.0,,,,
