personId,points,contestedShots,contestedShots2pt,contestedShots3pt,deflections,chargesDrawn,screenAssists,screenAssistPoints,looseBallsRecoveredOffensive,looseBallsRecoveredDefensive,looseBallsRecoveredTotal,offensiveBoxOuts,defensiveBoxOuts,boxOutPlayerTeamRebounds,boxOutPlayerRebounds,boxOuts,matchupMinutes,partialPossessions,switchesOn,oppPoints,defensiveRebounds,matchupAssists,matchupTurnovers,steals,matchupFieldGoalsMade,matchupFieldGoalsAttempted,matchupFieldGoalPercentage,matchupThreePointersMade,matchupThreePointersAttempted,matchupThreePointerPercentage,gameId,teamId,teamCity,teamName,teamTricode,teamSlug,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,percentageFieldGoalsAttempted2pt,percentageFieldGoalsAttempted3pt,percentagePoints2pt,percentagePointsMidrange2pt,percentagePoints3pt,percentagePointsFastBreak,percentagePointsFreeThrow,percentagePointsOffTurnovers,percentagePointsPaint,percentageAssisted2pt,percentageUnassisted2pt,percentageAssisted3pt,percentageUnassisted3pt,percentageAssistedFGM,percentageUnassistedFGM,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,pointsOffTurnovers,pointsSecondChance,pointsFastBreak,pointsPaint,oppPointsOffTurnovers,oppPointsSecondChance,oppPointsFastBreak,oppPointsPaint,blocksAgainst,foulsPersonal,foulsDrawn,speed,distance,reboundChancesOffensive,reboundChancesDefensive,reboundChancesTotal,touches,secondaryAssists,freeThrowAssists,passes,assists,contestedFieldGoalsMade,contestedFieldGoalsAttempted,contestedFieldGoalPercentage,uncontestedFieldGoalsMade,uncontestedFieldGoalsAttempted,uncontestedFieldGoalsPercentage,fieldGoalPercentage,defendedAtRimFieldGoalsMade,defendedAtRimFieldGoalsAttempted,defendedAtRimFieldGoalPercentage,percentageFieldGoalsMade,percentageFieldGoalsAttempted,percentageThreePointersMade,percentageThreePointersAttempted,percentageFreeThrowsMade,percentageFreeThrowsAttempted,percentageReboundsOffensive,percentageReboundsDefensive,percentageReboundsTotal,percentageAssists,percentageTurnovers,percentageSteals,percentageBlocks,percentageBlocksAllowed,percentagePersonalFouls,percentagePersonalFoulsDrawn,percentagePoints
1628379,9.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7:31,43.9,0.0,9.0,3.0,1.0,0.0,0.0,3.0,7.0,0.429,1.0,3.0,0.333,0022300503,1610612763,Memphis,Grizzlies,MEM,grizzlies,Luke,Kennard,L. Kennard,luke-kennard,F,,,0.4,0.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,113.8,121.7,113.9,120.0,-0.1,1.7,0.158,0.0,37.5,0.0,0.136,0.064,0.0,0.9,0.9,0.089,106.03,99.89,83.24,46.0,0.109,0,0,0,0,7,3,4,28,0,2,1,4.3,1.67,0,3,3,30,0,0,24,3,0,1,0.0,3,4,0.75,0.599,1,2,0.5,0.136,0.106,0.375,0.143,0.0,0.0,0.0,0.2,0.136,0.188,0.0,0.0,0.0,0.0,0.2,0.1,0.161
1630214,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,1:11,7.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,3.0,0.667,0.0,0.0,0.0,0022300503,1610612763,Memphis,Grizzlies,MEM,grizzlies,Xavier,Tillman,X. Tillman,xavier-tillman,F,,,0.667,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,14.3,114.3,114.3,-98.8,-100.0,0.0,0.0,0.0,0.375,0.0,0.25,0.0,0.0,0.0,0.318,101.17,105.38,87.82,7.0,-1.0,0,0,0,0,2,2,0,8,1,1,0,4.08,0.24,3,0,3,7,0,0,4,0,0,1,0.0,0,2,0.0,0.0,0,1,0.0,0.0,0.375,0.0,0.25,0.0,0.0,1.0,0.0,0.6,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0
1628991,28.0,9.0,9.0,0.0,1.0,0.0,2.0,5.0,1.0,1.0,2.0,0.0,3.0,3.0,2.0,3.0,12:09,66.5,0.0,11.0,9.0,4.0,3.0,0.0,5.0,10.0,0.5,0.0,0.0,0.0,0022300503,1610612763,Memphis,Grizzlies,MEM,grizzlies,Jaren,Jackson Jr.,J. Jackson Jr.,jaren-jackson-jr,C,,,0.6,0.4,0.571,0.0,0.321,0.107,0.107,0.036,0.571,0.375,0.625,1.0,0.0,0.545,0.455,128.5,133.3,100.2,100.0,28.3,33.3,0.273,3.0,20.7,0.027,0.225,0.13,6.9,0.625,0.643,0.285,104.48,102.64,85.53,69.0,0.186,1,2,3,16,2,6,4,36,0,5,7,4.01,2.25,4,21,24,56,1,0,30,6,7,10,0.7,4,10,0.4,0.55,6,10,0.6,0.333,0.29,0.214,0.216,0.25,0.267,0.111,0.321,0.27,0.25,0.4,0.0,0.333,0.0,0.333,0.467,0.304
1630217,23.0,7.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,12:60,75.9,0.0,17.0,3.0,3.0,0.0,1.0,8.0,15.0,0.533,1.0,5.0,0.2,0022300503,1610612763,Memphis,Grizzlies,MEM,grizzlies,Desmond,Bane,D. Bane,desmond-bane,G,,,0.5,0.5,0.522,0.087,0.261,0.087,0.217,0.174,0.435,0.667,0.333,1.0,0.0,0.75,0.25,97.2,103.8,118.9,120.3,-21.7,-16.5,0.238,1.67,20.8,0.043,0.071,0.056,12.5,0.643,0.71,0.191,107.94,103.81,86.51,79.0,0.156,4,7,2,10,18,10,10,52,2,3,6,4.33,2.84,4,7,11,88,0,0,63,5,4,6,0.667,4,8,0.5,0.57,2,5,0.4,0.276,0.189,0.222,0.212,0.333,0.263,0.133,0.12,0.125,0.263,0.176,0.25,0.167,0.333,0.15,0.261,0.28
203935,25.0,3.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,14:28,82.2,0.0,11.0,6.0,5.0,1.0,3.0,5.0,15.0,0.333,0.0,2.0,0.0,0022300503,1610612763,Memphis,Grizzlies,MEM,grizzlies,Marcus,Smart,M. Smart,marcus-smart,G,,,0.35,0.65,0.4,0.08,0.48,0.16,0.12,0.04,0.32,0.0,1.0,1.0,0.0,0.444,0.556,118.7,121.4,109.5,108.2,9.2,13.2,0.296,1.6,22.9,0.0,0.125,0.064,14.3,0.55,0.563,0.276,108.29,107.68,89.73,84.0,0.125,1,3,4,8,8,9,8,52,0,2,3,3.93,2.63,3,8,11,72,0,0,44,8,2,3,0.667,7,17,0.412,0.45,2,2,1.0,0.25,0.25,0.267,0.31,0.2,0.278,0.0,0.188,0.136,0.333,0.5,0.6,0.0,0.0,0.105,0.167,0.245
1631246,19.0,7.0,5.0,2.0,4.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,13:56,78.5,0.0,19.0,5.0,6.0,3.0,0.0,9.0,18.0,0.5,1.0,3.0,0.333,0022300503,1610612763,Memphis,Grizzlies,MEM,grizzlies,Vince,Williams Jr.,V. Williams Jr.,vince-williams-jr,,,,0.636,0.364,0.316,0.0,0.474,0.105,0.211,0.158,0.316,0.667,0.333,1.0,0.0,0.833,0.167,124.9,128.9,105.5,102.4,19.4,26.5,0.031,0.0,7.1,0.095,0.109,0.102,0.0,0.682,0.745,0.133,107.31,107.12,89.27,83.0,0.126,3,2,2,6,12,4,6,46,1,2,3,4.71,3.07,7,10,15,51,0,0,40,1,1,5,0.2,5,6,0.833,0.545,0,2,0.0,0.158,0.143,0.2,0.103,0.25,0.182,0.333,0.156,0.205,0.042,0.0,0.0,0.286,0.25,0.125,0.13,0.178
1630533,9.0,8.0,6.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,2.0,0.0,2.0,11:00,62.5,0.0,15.0,2.0,4.0,1.0,2.0,6.0,16.0,0.375,1.0,3.0,0.333,0022300503,1610612763,Memphis,Grizzlies,MEM,grizzlies,Ziaire,Williams,Z. Williams,ziaire-williams,,,,0.5,0.5,0.667,0.0,0.333,0.444,0.0,0.222,0.667,0.667,0.333,1.0,0.0,0.75,0.25,111.1,112.7,102.7,100.0,8.4,12.7,0.15,3.0,21.4,0.063,0.057,0.06,7.1,0.45,0.431,0.155,112.09,112.79,93.99,63.0,0.044,2,2,4,6,11,7,10,34,2,4,3,4.49,2.19,4,5,9,29,1,0,18,3,2,5,0.4,2,5,0.4,0.4,1,3,0.333,0.167,0.189,0.1,0.167,0.0,0.056,0.286,0.087,0.133,0.188,0.1,0.286,0.0,1.0,0.308,0.176,0.127
202687,1.0,12.0,9.0,3.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,3.0,4.0,0.0,4.0,9:38,55.6,0.0,23.0,5.0,2.0,2.0,0.0,9.0,16.0,0.563,2.0,4.0,0.5,0022300503,1610612763,Memphis,Grizzlies,MEM,grizzlies,Bismack,Biyombo,B. Biyombo,bismack-biyombo,,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.3,101.8,105.9,106.8,-5.6,-5.0,0.095,1.0,28.6,0.04,0.139,0.098,28.6,0.0,0.174,0.078,108.43,107.21,89.35,57.0,0.022,0,0,0,0,16,6,8,30,0,3,1,4.37,2.02,2,12,14,36,0,0,29,2,0,2,0.0,0,0,0.0,0.0,4,9,0.444,0.0,0.045,0.0,0.0,0.143,0.182,0.167,0.227,0.214,0.154,0.133,0.0,0.5,0.0,0.188,0.063,0.017
1630583,7.0,5.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,6:33,37.0,0.0,5.0,5.0,1.0,4.0,1.0,2.0,7.0,0.286,0.0,1.0,0.0,0022300503,1610612763,Memphis,Grizzlies,MEM,grizzlies,Santi,Aldama,S. Aldama,santi-aldama,,,,0.364,0.636,0.286,0.0,0.429,0.0,0.286,0.571,0.286,1.0,0.0,1.0,0.0,1.0,0.0,84.4,84.6,93.8,97.4,-9.3,-12.8,0.1,0.25,5.9,0.1,0.227,0.167,23.5,0.227,0.284,0.38,122.72,120.26,100.21,39.0,-0.009,4,0,0,2,9,2,8,18,0,2,3,4.58,1.27,2,8,10,36,1,0,21,1,0,1,0.0,2,10,0.2,0.181,0,2,0.0,0.167,0.367,0.2,0.412,0.5,0.429,0.667,0.385,0.438,0.111,0.444,0.25,0.167,0.0,0.286,0.333,0.212
1629723,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1:07,6.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,0.0,0.0,0022300503,1610612763,Memphis,Grizzlies,MEM,grizzlies,John,Konchar,J. Konchar,john-konchar,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.2,37.5,85.8,114.3,-51.6,-76.8,0.0,0.0,0.0,0.0,0.2,0.125,0.0,0.0,0.0,0.102,144.64,120.0,100.0,8.0,0.0,0,0,0,0,5,1,2,6,0,0,0,4.56,0.26,0,1,1,6,0,0,5,0,0,0,0.0,0,1,0.0,0.0,1,1,1.0,0.0,0.333,0.0,0.5,0.0,0.0,0.0,0.333,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1628960,16.0,4.0,2.0,2.0,3.0,0.0,2.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,15:18,80.4,0.0,9.0,2.0,4.0,3.0,0.0,3.0,13.0,0.231,1.0,4.0,0.25,0022300503,1610612756,Phoenix,Suns,PHX,suns,Grayson,Allen,G. Allen,grayson-allen,F,,,0.467,0.533,0.25,0.0,0.75,0.125,0.0,0.313,0.25,0.5,0.5,1.0,0.0,0.833,0.167,113.3,114.0,110.4,115.3,3.0,-1.3,0.088,1.0,14.3,0.0,0.041,0.021,14.3,0.533,0.533,0.185,108.0,105.37,87.8,86.0,0.048,5,0,2,4,10,16,10,42,1,2,2,4.41,3.05,1,7,8,63,1,1,45,3,1,5,0.2,5,10,0.5,0.4,1,3,0.333,0.15,0.185,0.5,0.348,0.0,0.0,0.0,0.071,0.051,0.115,0.333,0.0,0.4,0.333,0.091,0.105,0.163
201142,23.0,6.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13:46,76.6,0.0,11.0,8.0,6.0,2.0,0.0,4.0,11.0,0.364,3.0,6.0,0.5,0022300503,1610612756,Phoenix,Suns,PHX,suns,Kevin,Durant,K. Durant,kevin-durant,F,,,0.957,0.043,0.957,0.348,0.0,0.087,0.043,0.087,0.609,0.545,0.455,0.0,0.0,0.545,0.455,109.9,106.1,114.4,116.0,-4.5,-10.0,0.2,5.0,17.2,0.045,0.178,0.112,3.4,0.478,0.491,0.26,106.46,107.57,89.64,82.0,0.14,2,4,2,14,11,12,13,36,0,1,2,3.63,2.33,2,13,15,54,0,1,29,5,9,15,0.6,2,8,0.25,0.477,0,1,0.0,0.306,0.303,0.0,0.053,0.111,0.071,0.154,0.276,0.238,0.217,0.1,0.0,0.2,0.0,0.063,0.118,0.264
