personId,points,contestedShots,contestedShots2pt,contestedShots3pt,deflections,chargesDrawn,screenAssists,screenAssistPoints,looseBallsRecoveredOffensive,looseBallsRecoveredDefensive,looseBallsRecoveredTotal,offensiveBoxOuts,defensiveBoxOuts,boxOutPlayerTeamRebounds,boxOutPlayerRebounds,boxOuts,matchupMinutes,partialPossessions,switchesOn,oppPoints,defensiveRebounds,matchupAssists,matchupTurnovers,steals,matchupFieldGoalsMade,matchupFieldGoalsAttempted,matchupFieldGoalPercentage,matchupThreePointersMade,matchupThreePointersAttempted,matchupThreePointerPercentage,gameId,teamId,teamCity,teamName,teamTricode,teamSlug,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,percentageFieldGoalsAttempted2pt,percentageFieldGoalsAttempted3pt,percentagePoints2pt,percentagePointsMidrange2pt,percentagePoints3pt,percentagePointsFastBreak,percentagePointsFreeThrow,percentagePointsOffTurnovers,percentagePointsPaint,percentageAssisted2pt,percentageUnassisted2pt,percentageAssisted3pt,percentageUnassisted3pt,percentageAssistedFGM,percentageUnassistedFGM,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,pointsOffTurnovers,pointsSecondChance,pointsFastBreak,pointsPaint,oppPointsOffTurnovers,oppPointsSecondChance,oppPointsFastBreak,oppPointsPaint,blocksAgainst,foulsPersonal,foulsDrawn,speed,distance,reboundChancesOffensive,reboundChancesDefensive,reboundChancesTotal,touches,secondaryAssists,freeThrowAssists,passes,assists,contestedFieldGoalsMade,contestedFieldGoalsAttempted,contestedFieldGoalPercentage,uncontestedFieldGoalsMade,uncontestedFieldGoalsAttempted,uncontestedFieldGoalsPercentage,fieldGoalPercentage,defendedAtRimFieldGoalsMade,defendedAtRimFieldGoalsAttempted,defendedAtRimFieldGoalPercentage,percentageFieldGoalsMade,percentageFieldGoalsAttempted,percentageThreePointersMade,percentageThreePointersAttempted,percentageFreeThrowsMade,percentageFreeThrowsAttempted,percentageReboundsOffensive,percentageReboundsDefensive,percentageReboundsTotal,percentageAssists,percentageTurnovers,percentageSteals,percentageBlocks,percentageBlocksAllowed,percentagePersonalFouls,percentagePersonalFoulsDrawn,percentagePoints
1627759,11.0,4.0,3.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,14:21,74.7,0.0,9.0,2.0,2.0,1.0,1.0,3.0,10.0,0.3,1.0,4.0,0.25,0022300159,1610612738,Boston,Celtics,BOS,celtics,Jaylen,Brown,J. Brown,jaylen-brown,F,,,0.462,0.538,0.364,0.0,0.545,0.455,0.091,0.545,0.364,1.0,0.0,0.0,1.0,0.5,0.5,95.3,96.1,96.5,98.7,-1.2,-2.6,0.091,0.5,10.0,0.0,0.049,0.024,20.0,0.385,0.396,0.218,104.87,103.3,86.08,76.0,0.004,6,3,5,4,8,12,19,36,1,2,3,3.76,2.49,2,5,7,48,1,0,28,2,2,4,0.5,2,9,0.222,0.307,0,0,0.0,0.154,0.194,0.222,0.206,0.083,0.133,0.0,0.08,0.065,0.105,0.444,0.143,0.167,0.25,0.182,0.214,0.151
1628369,16.0,5.0,2.0,3.0,4.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,14:16,76.0,0.0,17.0,14.0,1.0,3.0,3.0,7.0,9.0,0.778,3.0,5.0,0.6,0022300159,1610612738,Boston,Celtics,BOS,celtics,Jayson,Tatum,J. Tatum,jayson-tatum,F,,,0.571,0.429,0.5,0.0,0.375,0.438,0.125,0.438,0.5,0.25,0.75,1.0,0.0,0.5,0.5,95.8,96.3,97.7,100.0,-1.9,-3.8,0.286,3.0,26.1,0.021,0.326,0.165,8.7,0.5,0.522,0.19,103.71,102.26,85.21,80.0,0.186,7,0,7,8,10,16,10,34,1,2,2,3.56,2.38,1,14,15,73,1,0,55,6,3,5,0.6,3,9,0.333,0.428,1,1,1.0,0.222,0.187,0.143,0.14,0.222,0.3,0.111,0.519,0.417,0.316,0.2,0.429,0.0,0.167,0.182,0.222,0.208
204001,29.0,11.0,9.0,2.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,12:44,65.6,0.0,19.0,2.0,2.0,1.0,0.0,7.0,18.0,0.389,1.0,7.0,0.143,0022300159,1610612738,Boston,Celtics,BOS,celtics,Kristaps,Porzingis,K. Porzingis,kristaps-porzingis,C,,,0.684,0.316,0.552,0.0,0.207,0.172,0.241,0.103,0.552,0.875,0.125,1.0,0.0,0.9,0.1,108.5,108.6,101.7,98.6,6.8,10.0,0.176,0.0,12.0,0.121,0.065,0.094,0.0,0.579,0.644,0.289,105.74,107.38,89.48,70.0,0.165,3,2,5,16,10,8,13,42,1,4,6,3.8,2.22,9,5,14,56,2,0,34,3,5,10,0.5,5,9,0.556,0.526,4,6,0.667,0.37,0.322,0.25,0.25,0.5,0.5,0.667,0.091,0.214,0.143,0.0,0.0,0.333,0.167,0.4,0.429,0.382
1628401,19.0,7.0,6.0,1.0,2.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,15:15,79.0,0.0,13.0,3.0,4.0,2.0,2.0,5.0,16.0,0.313,0.0,4.0,0.0,0022300159,1610612738,Boston,Celtics,BOS,celtics,Derrick,White,D. White,derrick-white,G,,,0.389,0.611,0.316,0.0,0.474,0.0,0.211,0.0,0.316,0.667,0.333,0.667,0.333,0.667,0.333,100.6,101.2,96.7,98.8,3.9,2.5,0.217,2.5,18.5,0.024,0.071,0.048,7.4,0.417,0.481,0.251,104.9,103.5,86.25,81.0,0.088,0,2,0,6,10,12,19,42,2,3,3,3.98,2.78,5,8,13,72,1,1,48,5,3,8,0.375,3,10,0.3,0.333,2,4,0.5,0.207,0.257,0.3,0.314,0.286,0.235,0.167,0.115,0.125,0.227,0.2,0.25,0.167,0.5,0.273,0.2,0.232
201950,12.0,7.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,13:52,73.9,0.0,22.0,4.0,4.0,4.0,1.0,9.0,18.0,0.5,2.0,7.0,0.286,0022300159,1610612738,Boston,Celtics,BOS,celtics,Jrue,Holiday,J. Holiday,jrue-holiday,G,,,0.667,0.333,0.333,0.0,0.5,0.167,0.167,0.167,0.333,1.0,0.0,1.0,0.0,1.0,0.0,112.9,111.7,93.9,96.1,19.0,15.6,0.192,2.5,29.4,0.026,0.098,0.063,11.8,0.556,0.607,0.144,106.27,105.66,88.05,77.0,0.098,2,3,2,4,10,9,15,32,1,1,2,4.02,2.58,4,6,10,56,1,0,42,5,1,4,0.25,3,5,0.6,0.444,2,3,0.667,0.133,0.132,0.154,0.079,0.154,0.143,0.143,0.148,0.147,0.227,0.222,0.167,0.0,0.25,0.083,0.167,0.14
201143,3.0,11.0,8.0,3.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9:33,53.4,0.0,21.0,5.0,1.0,1.0,0.0,9.0,22.0,0.409,1.0,5.0,0.2,0022300159,1610612738,Boston,Celtics,BOS,celtics,Al,Horford,A. Horford,al-horford,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,73.7,71.4,113.0,116.7,-39.3,-45.2,0.273,3.0,30.0,0.0,0.156,0.075,10.0,0.25,0.25,0.12,100.74,100.7,83.92,56.0,0.049,0,0,0,0,8,14,17,30,0,1,0,3.85,1.8,1,8,9,32,0,0,25,3,0,0,0.0,1,6,0.167,0.167,3,8,0.375,0.083,0.13,0.143,0.222,0.0,0.0,0.0,0.278,0.227,0.3,0.143,0.0,0.4,0.0,0.333,0.0,0.075
1630573,13.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6:58,37.9,0.0,5.0,4.0,2.0,1.0,1.0,2.0,6.0,0.333,1.0,3.0,0.333,0022300159,1610612738,Boston,Celtics,BOS,celtics,Sam,Hauser,S. Hauser,sam-hauser,,,,0.25,0.75,0.308,0.154,0.692,0.0,0.0,0.154,0.154,1.0,0.0,1.0,0.0,1.0,0.0,103.6,100.0,119.2,118.4,-15.6,-18.4,0.0,0.0,0.0,0.0,0.2,0.103,0.0,0.813,0.813,0.197,96.94,99.0,82.5,39.0,0.175,2,2,0,2,6,10,6,32,0,0,0,4.8,1.54,1,6,7,26,0,0,18,0,1,1,1.0,4,7,0.571,0.625,3,4,0.75,0.357,0.242,0.5,0.375,0.0,0.0,0.0,0.308,0.25,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.333
1630202,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,6:01,32.3,0.0,6.0,0.0,2.0,0.0,0.0,3.0,4.0,0.75,0.0,0.0,0.0,0022300159,1610612738,Boston,Celtics,BOS,celtics,Payton,Pritchard,P. Pritchard,payton-pritchard,,,,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.9,112.1,122.8,118.2,-9.9,-6.1,0.308,4.0,44.4,0.125,0.0,0.063,11.1,0.0,0.0,0.14,96.68,98.9,82.41,33.0,0.0,0,0,0,0,8,8,4,26,1,0,0,4.5,1.27,4,2,6,26,0,0,21,4,0,1,0.0,0,3,0.0,0.0,2,2,1.0,0.0,0.138,0.0,0.143,0.0,0.0,0.667,0.0,0.143,0.333,0.2,0.0,0.0,0.333,0.0,0.0,0.0
1628436,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:58,7.1,0.0,6.0,0.0,0.0,2.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0022300159,1610612738,Boston,Celtics,BOS,celtics,Luke,Kornet,L. Kornet,luke-kornet,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.2,62.5,116.3,114.3,-49.1,-51.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.46,116.76,97.3,8.0,0.0,0,0,0,0,0,6,2,6,0,0,0,4.8,0.26,2,1,3,3,0,0,3,0,0,0,0.0,0,0,0.0,0.0,2,3,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1626162,14.0,7.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10:08,58.0,0.0,12.0,7.0,3.0,1.0,1.0,5.0,11.0,0.455,2.0,6.0,0.333,0022300159,1610612755,Philadelphia,76ers,PHI,sixers,Kelly,Oubre Jr.,K. Oubre Jr.,kelly-oubre-jr,F,,,0.727,0.273,0.714,0.143,0.214,0.143,0.071,0.0,0.571,0.6,0.4,1.0,0.0,0.667,0.333,102.7,103.4,99.7,95.1,3.1,8.4,0.056,0.0,7.7,0.031,0.219,0.125,0.0,0.591,0.589,0.181,105.4,107.57,89.64,58.0,0.15,0,3,2,8,8,6,8,22,0,0,2,4.45,2.08,4,9,13,36,0,0,24,1,4,6,0.667,2,5,0.4,0.545,1,1,1.0,0.25,0.2,0.333,0.167,0.111,0.2,0.125,0.292,0.25,0.1,0.0,0.2,0.0,0.0,0.0,0.25,0.233
