AST.E_DEF_RATING,AST.E_NET_RATING,AST.E_OFF_RATING,AST.E_PACE,AST.E_REB_PCT,AST.W_PCT,PTS.E_DEF_RATING,PTS.E_NET_RATING,PTS.E_OFF_RATING,PTS.E_PACE,PTS.E_REB_PCT,PTS.W_PCT,REB.E_DEF_RATING,REB.E_NET_RATING,REB.E_OFF_RATING,REB.E_PACE,REB.E_REB_PCT,REB.W_PCT
0.185,0.152,0.048,-0.036,-0.149,0.144,-0.302,-0.052,0.231,0.196,0.019,0.044,0.049,0.192,0.255,0.053,0.21,0.169
-0.142,0.116,0.252,0.063,0.094,0.129,-0.117,0.208,0.357,-0.047,0.176,0.05,-0.123,0.084,0.197,0.25,-0.253,0.147
-0.468,-0.486,-0.365,0.063,-0.11,-0.502,-0.536,-0.398,-0.11,0.132,-0.243,-0.513,-0.194,-0.083,0.081,0.473,-0.614,0.0
0.339,0.095,-0.107,-0.039,0.017,0.064,0.038,-0.017,-0.048,0.179,0.097,-0.07,0.046,-0.003,-0.039,0.106,0.174,0.014
-0.169,-0.102,-0.023,0.114,-0.073,-0.044,-0.158,0.294,0.477,0.09,0.169,0.332,-0.143,0.019,0.121,-0.019,0.174,-0.026
-0.082,-0.067,-0.035,0.149,-0.217,-0.066,0.046,-0.042,-0.092,-0.083,-0.137,-0.021,0.019,-0.08,-0.128,0.142,-0.106,0.027
0.069,0.019,-0.044,0.088,-0.182,-0.0,0.18,0.076,-0.07,-0.218,0.117,0.082,-0.098,-0.042,0.033,-0.105,0.152,-0.039
-0.177,-0.055,0.036,-0.177,-0.435,-0.08,0.392,0.121,-0.08,0.42,-0.053,0.195,0.334,0.194,0.053,0.257,-0.628,0.19
0.181,-0.083,-0.305,0.001,-0.128,-0.014,0.032,-0.112,-0.197,0.236,-0.145,-0.063,-0.005,-0.053,-0.074,0.104,0.022,-0.007
-0.242,-0.13,0.036,0.254,0.034,-0.103,-0.098,-0.233,-0.252,0.41,-0.255,-0.259,0.234,0.398,0.367,-0.185,-0.006,0.315
0.037,-0.055,-0.1,-0.044,0.201,-0.001,-0.335,-0.111,0.131,0.191,0.188,-0.053,-0.131,-0.092,-0.012,0.153,0.114,-0.05
0.015,-0.054,-0.109,-0.296,0.154,-0.039,-0.304,-0.278,-0.16,0.076,0.1,-0.307,-0.047,-0.085,-0.096,0.139,-0.27,-0.073
0.158,0.243,0.211,-0.021,0.109,0.119,-0.006,0.132,0.197,0.021,-0.018,0.061,0.016,0.126,0.166,-0.075,0.116,0.155
0.023,-0.0,-0.025,0.112,0.113,0.043,-0.156,-0.22,-0.187,-0.075,-0.087,-0.276,-0.134,-0.166,-0.129,0.116,-0.218,-0.215
0.094,0.0,-0.075,-0.077,-0.185,-0.018,0.098,-0.143,-0.273,0.066,-0.026,-0.176,-0.056,0.1,0.179,0.151,-0.143,0.113
0.185,0.263,0.228,0.17,-0.186,0.21,0.238,0.097,-0.048,-0.133,0.477,-0.0,0.274,-0.017,-0.246,-0.16,0.229,-0.026
0.024,0.036,0.037,-0.009,0.032,0.127,-0.166,-0.184,-0.141,0.236,-0.257,-0.167,-0.138,-0.251,-0.279,0.253,-0.093,-0.189
0.056,0.086,0.083,0.148,-0.05,0.143,-0.161,-0.116,-0.045,0.048,0.22,-0.142,0.123,-0.035,-0.16,-0.025,-0.142,0.013
-0.014,0.196,0.256,-0.186,-0.028,0.119,-0.577,-0.415,-0.098,0.487,-0.203,-0.324,-0.301,-0.251,-0.09,0.194,-0.188,-0.313
-0.227,-0.187,-0.07,0.003,-0.209,-0.293,-0.02,0.006,0.029,0.384,-0.203,-0.013,0.107,-0.017,-0.121,-0.398,0.139,-0.014
-0.157,-0.231,-0.148,0.185,-0.364,-0.259,0.105,0.091,0.019,-0.191,0.103,0.06,0.234,0.186,0.032,-0.219,0.381,0.175
-0.213,-0.119,-0.003,0.147,0.029,-0.121,-0.469,-0.383,-0.183,0.403,-0.246,-0.431,-0.178,-0.279,-0.272,0.024,-0.087,-0.242
-0.433,-0.132,0.142,0.134,0.155,-0.11,-0.034,-0.084,-0.08,0.031,0.017,-0.069,-0.167,-0.279,-0.235,0.304,-0.087,-0.258
-0.373,-0.526,-0.428,0.176,-0.562,-0.484,0.048,0.071,0.057,0.256,0.153,0.124,-0.144,-0.148,-0.095,0.151,-0.073,-0.102
-0.11,-0.143,-0.123,0.297,-0.109,-0.2,-0.518,-0.543,-0.386,0.412,-0.387,-0.549,-0.054,-0.195,-0.259,0.154,-0.236,-0.155
-0.274,-0.005,0.202,0.353,-0.015,-0.007,0.163,0.314,0.307,-0.048,0.108,0.336,0.111,0.247,0.26,-0.276,0.167,0.256
0.119,-0.023,-0.142,-0.041,-0.01,-0.014,-0.245,-0.132,0.02,0.161,-0.202,-0.127,-0.179,-0.172,-0.102,0.079,-0.104,-0.152
-0.188,-0.147,-0.053,0.07,-0.023,-0.164,-0.159,-0.012,0.101,-0.137,0.021,-0.031,-0.076,-0.259,-0.28,-0.103,-0.214,-0.193
-0.254,-0.297,-0.181,0.189,-0.005,-0.21,0.008,0.197,0.249,0.259,-0.204,0.235,0.182,0.12,0.005,0.137,-0.212,0.139
-0.014,-0.222,-0.302,0.022,-0.285,-0.194,-0.061,-0.069,-0.051,-0.149,-0.184,-0.039,-0.055,0.011,0.051,-0.156,-0.197,0.003
0.44,0.358,0.122,-0.235,0.119,0.344,-0.168,-0.138,-0.049,0.038,0.049,-0.103,0.231,0.096,-0.074,-0.03,-0.023,0.127
-0.244,-0.216,-0.118,0.017,-0.189,-0.219,0.023,-0.129,-0.216,0.056,-0.423,-0.089,-0.029,-0.07,-0.083,-0.235,-0.107,-0.023
-0.294,-0.167,0.039,0.194,-0.156,-0.463,0.17,0.067,-0.049,-0.148,0.245,-0.231,0.024,-0.04,-0.067,-0.122,0.064,-0.269
-0.071,-0.136,-0.122,0.023,-0.094,-0.148,-0.259,-0.12,0.033,0.137,-0.084,-0.095,0.039,0.034,0.017,-0.008,-0.212,-0.031
